method,condition,codec,kbps,pix_fmt,lossless,group,mae,ci_low,ci_high,n_subjects
ica,h265_200k,h265,200.0,yuv420p,False,I-III,18.085748570545505,12.418215602199156,23.778843928667982,18
ica,h265_200k,h265,200.0,yuv420p,False,IV-VI,22.64535204700382,15.924837231091301,28.49652017792106,18
ica,h265_400k,h265,400.0,yuv420p,False,I-III,19.03662136601584,12.886852524544995,25.094151224228767,18
ica,h265_400k,h265,400.0,yuv420p,False,IV-VI,21.65219197941812,15.47719830201542,27.407403545352828,18
ica,h265_800k,h265,800.0,yuv420p,False,I-III,19.45756375323329,13.588288915245661,25.513551532661,18
ica,h265_800k,h265,800.0,yuv420p,False,IV-VI,22.573642357777434,16.38632232451428,28.54162384726994,18
ica,lossless_rgb,ffv1,,bgr0,True,I-III,14.09293756145958,7.435821271497658,20.646132176167647,18
ica,lossless_rgb,ffv1,,bgr0,True,IV-VI,11.223870499214602,4.906856408850971,18.650631858622777,18
ica,lossless_yuv420,h264,,yuv420p,True,I-III,14.577418237925501,9.168287603256104,21.248115401520792,18
ica,lossless_yuv420,h264,,yuv420p,True,IV-VI,12.880381529070952,5.908592828521639,20.6402373828761,18
ica,lossless_yuv444,h264,,yuv444p,True,I-III,14.170308130866491,8.48468783379219,20.934675360591505,18
ica,lossless_yuv444,h264,,yuv444p,True,IV-VI,14.340977566831567,7.1962858065912245,21.453063973620907,18
ica,vp9_100k,vp9,100.0,yuv420p,False,I-III,21.257263236720846,16.50015952738437,26.34766803942917,18
ica,vp9_100k,vp9,100.0,yuv420p,False,IV-VI,25.222740817533538,19.110817465148045,31.337166075168334,18
ica,vp9_1600k,vp9,1600.0,yuv420p,False,I-III,13.445931820328887,7.600401481999973,19.90330044506714,18
ica,vp9_1600k,vp9,1600.0,yuv420p,False,IV-VI,21.70166714366257,14.468113938464404,28.93841370351248,18
ica,vp9_200k,vp9,200.0,yuv420p,False,I-III,19.114164603236098,13.601562554698985,24.216948497628977,18
ica,vp9_200k,vp9,200.0,yuv420p,False,IV-VI,23.982561953709634,17.55154843200551,30.011774879543278,18
ica,vp9_400k,vp9,400.0,yuv420p,False,I-III,16.83311975436517,11.186950457767642,23.374534885927446,18
ica,vp9_400k,vp9,400.0,yuv420p,False,IV-VI,22.859290994052742,16.746188617786387,29.740957704290636,18
ica,vp9_800k,vp9,800.0,yuv420p,False,I-III,16.016256106644175,10.857868001943075,21.964641479355244,18
ica,vp9_800k,vp9,800.0,yuv420p,False,IV-VI,21.48004865095216,13.893100693275718,28.78520126632975,18
physnet,h264_100k,h264,100.0,yuv420p,False,I-III,19.66921584290543,15.15419954971406,24.72882498950047,18
physnet,h264_100k,h264,100.0,yuv420p,False,IV-VI,21.078921317884742,16.01042953329412,26.030310009552725,18
physnet,h264_1600k,h264,1600.0,yuv420p,False,I-III,20.19877999569791,15.221594710585908,25.651213843274082,18
physnet,h264_1600k,h264,1600.0,yuv420p,False,IV-VI,20.32739504268841,15.804581618791023,25.18470263789797,18
physnet,h264_200k,h264,200.0,yuv420p,False,I-III,20.15742159918,15.339905367430186,25.30541494854045,18
physnet,h264_200k,h264,200.0,yuv420p,False,IV-VI,22.184812145463418,17.047509191363428,27.265470418664652,18
physnet,h264_400k,h264,400.0,yuv420p,False,I-III,19.873304679034288,15.360120053614967,24.904681282452096,18
physnet,h264_400k,h264,400.0,yuv420p,False,IV-VI,22.24955238428568,16.73811883531628,27.688714097091275,18
physnet,h264_800k,h264,800.0,yuv420p,False,I-III,21.006657791248823,16.662934080935553,26.238599710404706,18
physnet,h264_800k,h264,800.0,yuv420p,False,IV-VI,21.79277396157418,16.256148724321125,26.720442842513567,18
physnet,lossless_rgb,ffv1,,bgr0,True,I-III,13.728036469618779,8.79034304303844,20.09837417495875,18
physnet,lossless_rgb,ffv1,,bgr0,True,IV-VI,21.91768659284712,17.046880489843417,27.231266417863147,18
pos,h264_100k,h264,100.0,yuv420p,False,I-III,19.99039031650888,15.210931576249092,25.12534547602117,18
pos,h264_100k,h264,100.0,yuv420p,False,IV-VI,24.437465956934506,19.030485502010958,30.14237522197017,18
pos,h264_1600k,h264,1600.0,yuv420p,False,I-III,12.999173055888832,7.017236962174437,19.941404328574425,18
pos,h264_1600k,h264,1600.0,yuv420p,False,IV-VI,17.758980760595094,11.755482790076526,24.528927106460735,18
pos,h264_200k,h264,200.0,yuv420p,False,I-III,17.799462250303783,13.172606888820685,23.06312842389671,18
pos,h264_200k,h264,200.0,yuv420p,False,IV-VI,22.172533743823507,16.149876329702852,28.864590032207634,18
pos,h264_400k,h264,400.0,yuv420p,False,I-III,15.983158093343597,10.97111904140248,21.563659806737384,18
pos,h264_400k,h264,400.0,yuv420p,False,IV-VI,19.323634050328735,13.499326447187192,25.038024843385173,18
pos,h264_444_100k,h264,100.0,yuv444p,False,I-III,23.78421755298559,18.732592232640084,29.021772870298634,18
pos,h264_444_100k,h264,100.0,yuv444p,False,IV-VI,24.362688446658677,18.85029345766094,29.97697768895094,18
pos,h264_444_1600k,h264,1600.0,yuv444p,False,I-III,21.81245969480996,16.705250905865338,27.851466425370926,18
pos,h264_444_1600k,h264,1600.0,yuv444p,False,IV-VI,25.105827143608554,19.225396826065687,30.900192501156717,18
pos,h264_444_200k,h264,200.0,yuv444p,False,I-III,22.645589569003427,17.28800912638565,27.877793084647983,18
pos,h264_444_200k,h264,200.0,yuv444p,False,IV-VI,26.799182242488275,21.11224361631515,31.63372736588136,18
pos,h264_444_400k,h264,400.0,yuv444p,False,I-III,21.741006345583475,15.939348376454783,27.96066187508161,18
pos,h264_444_400k,h264,400.0,yuv444p,False,IV-VI,26.756326660985575,20.82628747111427,32.44659353550247,18
pos,h264_444_800k,h264,800.0,yuv444p,False,I-III,21.825849434264555,16.141063605297592,27.652516591090343,18
pos,h264_444_800k,h264,800.0,yuv444p,False,IV-VI,25.689387136828813,19.834244869763896,31.805397447751876,18
pos,h264_800k,h264,800.0,yuv420p,False,I-III,12.03020921710057,6.707825308750522,18.451413151985317,18
pos,h264_800k,h264,800.0,yuv420p,False,IV-VI,19.773303033045778,13.445987696543785,25.979991067281848,18
pos,h265_100k,h265,100.0,yuv420p,False,I-III,14.826715768050555,9.541352139029414,20.914646337678537,18
pos,h265_100k,h265,100.0,yuv420p,False,IV-VI,20.884824985976856,14.597964923200355,26.583575723389174,18
pos,h265_1600k,h265,1600.0,yuv420p,False,I-III,14.131385451060877,7.364918797085761,21.880257792105088,18
pos,h265_1600k,h265,1600.0,yuv420p,False,IV-VI,20.062667513377814,13.843906223923728,27.060333634712258,18
pos,h265_200k,h265,200.0,yuv420p,False,I-III,13.612722586967214,8.257732638823905,20.380282185158308,18
pos,h265_200k,h265,200.0,yuv420p,False,IV-VI,18.873111419630224,13.724605752429413,24.748129471629966,18
pos,h265_400k,h265,400.0,yuv420p,False,I-III,13.604802998944082,7.344683294276091,20.33419492454981,18
pos,h265_400k,h265,400.0,yuv420p,False,IV-VI,19.94467784139464,13.90639952534756,26.127400869068957,18
pos,h265_800k,h265,800.0,yuv420p,False,I-III,15.702462310039047,9.072984858133871,23.808206454014588,18
pos,h265_800k,h265,800.0,yuv420p,False,IV-VI,19.0881261100566,12.595843295637081,26.153654084181536,18
