subject,fitzpatrick,source,condition,codec,kbps,pix_fmt,lossless,detect_rate,window,method,ref_bpm,est_bpm,quality,confident,w_green,w_chrom,w_pos
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,7,pos,75.20207736668719,75.67963922988103,0.4466326754874357,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,7,trace_v1,75.20207736668719,75.64294816480567,0.3499309247693416,True,0.41033428953138273,0.2209178630192827,0.3687478474493346
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,7,trace_v2,75.20207736668719,75.549865961266,0.4331269871277541,True,0.2858618499535449,0.3381387452199571,0.3759994048264979
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,7,trace,75.20207736668719,75.549865961266,0.4331269871277541,True,0.2858618499535449,0.3381387452199571,0.3759994048264979
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,7,pos_mask,75.20207736668719,75.5933349434849,,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,7,pos_wiener,75.20207736668719,75.67960256127989,,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,7,physnet,75.20207736668719,75.60267399469393,0.4059971221332329,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,7,factorizephys,75.20207736668719,75.80948388814654,0.44276028136385553,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,0,green,78.66718410470301,53.143903010128184,0.33645888481011527,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,0,ica,78.66718410470301,52.726603775788234,0.37273393745252004,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,0,chrom,78.66718410470301,78.29910300517835,0.4043107780896512,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,0,pos,78.66718410470301,78.11032396478592,0.4975308951731028,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,0,trace_v1,78.66718410470301,78.19065849074488,0.34761350983752237,True,0.304937322163718,0.04155680051107101,0.653505877325211
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,0,trace_v2,78.66718410470301,78.72869153826257,0.4719086276163166,True,0.1975314523675795,0.3770617322156249,0.42540681541679565
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,0,trace,78.66718410470301,78.72869153826257,0.4719086276163166,True,0.1975314523675795,0.3770617322156249,0.42540681541679565
